Binary DIJKSTRA Simple Structure
Nodes	Seconds	Comparisons
5000	0		0
10000	0		0
15000	0		0
16000	0		0
17000	0		0
18000	0		0
19000	0		0
20000	0		0

Binary DIJKSTRA Complex Structure
Nodes	Seconds	Comparisons
5000	0.1	0
10000	0.35	0
15000	0.79	0
16000	0.91	0
17000	1.02	0
18000	1.31	0
19000	1.98	0
20000	3.35	0

Fibonacci DIJKSTRA Simple Structure
Nodes	Seconds	Comparisons
5000	0		0
10000	0		0
15000	0		0
16000	0		0
17000	0		0
18000	0		0
19000	0.01	0
20000	0.01	0

fibonacci DIJKSTRA Complex Structure
Nodes	Seconds	Comparisons
5000	0.12	0
10000	0.47	0
15000	1.03	0
16000	1.21	0
17000	1.34	0
18000	1.53	0
19000	2.24	0
20000	3.73	0

