Binary Insert
Operations	Seconds
5000000   	0.6
10000000   	1.25
15000000   	1.91
20000000   	2.46
25000000   	3.03
30000000   	3.8
35000000   	4.4

Fibonacci Insert
Operations	Seconds
5000000   	0.23
10000000   	0.44
15000000   	0.68
20000000   	0.87
25000000   	1.1
30000000   	1.31
35000000   	1.64

Binary Deletemin
Operations	Seconds
5000000   	0.67
10000000   	1.45
15000000   	2.27
20000000   	3.08
25000000   	3.98
30000000   	5.05
35000000   	5.77

Fibonacci Deletemin
Operations	Seconds
5000000   	2.22
10000000   	4
15000000   	7.17
20000000   	8.98
25000000   	11.68
30000000   	13.07
35000000   	14.67

Binary Decreasekey
Operations	Seconds
5000000   	2.24
10000000   	4.61
15000000   	7.2
20000000   	9.5
25000000   	11.83
30000000   	14.86
35000000   	17.61

Fibonacci DecreaseKey
Operations	Seconds
5000000   	0.21
10000000   	0.4
15000000   	0.61
20000000   	0.8
25000000   	1
30000000   	1.2
35000000   	1.4

