Binary Insert
Operations	Seconds	Comparisons
5000000   	0.63  	106611416
10000000   	1.27  	223222809
15000000   	1.97  	343222809
20000000   	2.57  	466445594
25000000   	3.22  	591445594
30000000   	4.07  	716445594
35000000   	4.67  	842891163

Fibonacci Insert
Operations	Seconds	Comparisons
5000000   	0.23  	5000000
10000000   	0.47  	10000000
15000000   	0.71  	15000000
20000000   	0.93  	20000000
25000000   	1.15  	25000000
30000000   	1.37  	30000000
35000000   	1.62  	35000000

Binary Deletemin
Operations	Seconds	Comparisons
5000000   	0.69  	198222832
10000000   	1.53  	416445618
15000000   	2.41  	641445618
20000000   	3.23  	872891188
25000000   	4.2  	1107891188
30000000   	5.15  	1342891188
35000000   	6.04  	1580782326

Fibonacci Deletemin
Operations	Seconds	Comparisons
5000000   	2.48  	93013401
10000000   	4.3  	201026778
15000000   	7.96  	298344442
20000000   	9.62  	432053531
25000000   	12.73  	482749115
30000000   	14.24  	641688859
35000000   	15.84  	724769148

Binary Decreasekey
Operations	Seconds	Comparisons
5000000   	2.38  	553057007
10000000   	4.84  	1156113968
15000000   	7.6  	1776113965
20000000   	10.01  	2412227889
25000000   	12.38  	3057227886
30000000   	15.68  	3702227886
35000000   	18.1  	4354455731

Fibonacci DecreaseKey
Operations	Seconds	Comparisons
5000000   	0.22  	25000000
10000000   	0.43  	50000000
15000000   	0.64  	75000000
20000000   	0.88  	100000000
25000000   	1.06  	125000000
30000000   	1.27  	150000000
35000000   	1.51  	175000000

