Binary DIJKSTRA Simple Structure
Nodes	Seconds	Comparisons
10000	0.016	0
20000	0.03	0
30000	0.032	0
40000	0.062	0
50000	0.061	0
60000	0.078	0
70000	0.079	0
80000	0.093	0
90000	0.14	0
100000	0.14	0
110000	0.155	0
120000	0.185	0
130000	0.174	0
140000	0.235	0
150000	0.219	0
160000	0.234	0
170000	0.25	0
180000	0.264	0
190000	0.312	0
200000	0.297	0

Binary DIJKSTRA Complex Structure
Nodes	Seconds	Comparisons
1000	0.047	0
2000	0.03	0
3000	0.157	0
4000	0.28	0
5000	0.484	0
6000	0.684	0
7000	0.967	0
8000	1.373	0
9000	1.716	0
10000	2.122	0
11000	2.637	0
12000	3.261	0
13000	3.837	0
14000	4.542	0
15000	5.273	0
16000	6.053	0
17000	6.816	0
18000	7.831	0
19000	8.721	0
20000	9.609	0

Fibonacci DIJKSTRA Simple Structure
Nodes	Seconds	Comparisons
10000	0	0
20000	0.031	0
30000	0.046	0
40000	0.061	0
50000	0.078	0
60000	0.111	0
70000	0.155	0
80000	0.186	0
90000	0.218	0
100000	0.219	0
110000	0.251	0
120000	0.265	0
130000	0.296	0
140000	0.327	0
150000	0.39	0
160000	0.389	0
170000	0.327	0
180000	0.405	0
190000	0.405	0
200000	0.391	0

fibonacci DIJKSTRA Complex Structure
Nodes	Seconds	Comparisons
1000	0	0
2000	0.093	0
3000	0.157	0
4000	0.265	0
5000	0.405	0
6000	0.578	0
7000	0.874	0
8000	1.123	0
9000	1.451	0
10000	1.809	0
11000	2.248	0
12000	2.683	0
13000	3.12	0
14000	3.666	0
15000	4.212	0
16000	4.977	0
17000	5.585	0
18000	6.459	0
19000	7.269	0
20000	8.096	0
