Insert
VEB
Operations	Seconds	Comparisons
262144	0.02	21489596
524288	0.04	42979308
1048576	0.08	85958756
2097152	0.16	171917668
4194304	0.33	343835478
8388608	0.63	687671120
16777216	1.28	1375342396

bitsmart
Operations	Seconds	Comparisons
262144	0.01	6553312
524288	0.02	13106656
1048576	0.03	26213344
2097152	0.07	52426720
4194304	0.13	104853472
8388608	0.28	209706976
16777216	0.54	419413984

std::set
Operations	Seconds	Comparisons
262144	0.07	0
524288	0.14	0
1048576	0.33	0
2097152	0.78	0
4194304	1.78	0
8388608	4.13	0
16777216	8.76	0

Remove
VEB
Operations	Seconds	Comparisons
262144	0.01	7372172
524288	0.03	14744396
1048576	0.07	29488859
2097152	0.13	58977788
4194304	0.25	117955643
8388608	0.51	235911361
16777216	1.01	471822794

bitsmart
Operations	Seconds	Comparisons
262144	0.01	4734885
524288	0.02	9469803
1048576	0.04	18939635
2097152	0.07	37879299
4194304	0.15	75758627
8388608	0.3	151517283
16777216	0.6	303034595

std::set
Operations	Seconds	Comparisons
262144	0.03	0
524288	0.06	0
1048576	0.14	0
2097152	0.34	0
4194304	0.74	0
8388608	1.62	0
16777216	3.51	0

Predecessor
VEB
Operations	Seconds	Comparisons
262144	0.01	6546025
524288	0.02	13075847
1048576	0.04	26154079
2097152	0.08	52299653
4194304	0.18	104617290
8388608	0.35	209187660
16777216	0.69	418373223

bitsmart
Operations	Seconds	Comparisons
262144	0	3856983
524288	0.01	7709550
1048576	0.03	15420440
2097152	0.06	30836034
4194304	0.11	61674409
8388608	0.2	123340153
16777216	0.41	246678184

std::set
Operations	Seconds	Comparisons
262144	0.01	0
524288	0.04	0
1048576	0.07	0
2097152	0.16	0
4194304	0.34	0
8388608	0.71	0
16777216	1.5	0

Interleaved
VEB
Operations	Seconds	Comparisons
262144	0.13	40170731
524288	0.3	80299141
1048576	0.67	160717401
2097152	1.45	321415371
4194304	3.1	642811896
8388608	6.56	1285386001
16777216	14.04	2570846358

bitsmart
Operations	Seconds	Comparisons
262144	0.04	16992931
524288	0.1	33979851
1048576	0.23	67964160
2097152	0.6	135931991
4194304	1.41	271865013
8388608	3.07	543713202
16777216	6.68	1087427996

std::set
Operations	Seconds	Comparisons
262144	0.15	0
524288	0.39	0
1048576	0.98	0
2097152	2.3	0
4194304	5.29	0
8388608	11.83	0
16777216	26.54	0

==================DONE==================
