Insert
VEB
Operations	Seconds	Comparisons
262144	0.02	21489596	552939520
524288	0.04	42979308	552939520
1048576	0.09	85958756	552939520
2097152	0.17	171917668	552939520
4194304	0.34	343835478	552939520
8388608	0.68	687671120	552939520
16777216	1.35	1375342396	552939520

bitsmart
Operations	Seconds	Comparisons
262144	0.01	6553312	552939520
524288	0.02	13106656	552939520
1048576	0.04	26213344	552939520
2097152	0.06	52426720	552939520
4194304	0.14	104853472	552939520
8388608	0.27	209706976	552939520
16777216	0.55	419413984	552939520

std::set
Operations	Seconds	Comparisons
262144	0.07	0	552939520
524288	0.15	0	552939520
1048576	0.33	0	552939520
2097152	0.78	0	552939520
4194304	1.77	0	552939520
8388608	4.04	0	552939520
16777216	8.79	0	552939520

