Insert
VEB
Operations	Seconds	Comparisons
262144	0.33	21489596	1044619264
524288	0.66	42979308	1044619264
1048576	1.31	85958756	1044619264
2097152	2.63	171917668	1044619264
4194304	5.2	343835478	1044619264
8388608	10.4	687671120	1044619264
16777216	20.54	1375342396	1044619264

bitsmart
Operations	Seconds	Comparisons
262144	0.12	6553312	124092416
524288	0.23	13106656	124092416
1048576	0.47	26213344	124092416
2097152	0.93	52426720	124092416
4194304	1.84	104853472	124092416
8388608	3.68	209706976	124092416
16777216	8.04	419413984	124092416

std::set
Operations	Seconds	Comparisons
262144	0.15	0	28672000
524288	0.32	0	41254912
1048576	0.66	0	66420736
2097152	1.39	0	116752384
4194304	2.83	0	217415680
8388608	5.83	0	418742272
16777216	11.91	0	821395456

