VEB Insert
Operations	Seconds	Comparisons
262144	0.12	5462600	1111707648
524288	0.23	10925238	1111707648
1048576	0.45	21850526	1111707648
2097152	0.95	43701112	1111707648
4194304	1.8	87402276	1111707648
8388608	3.75	174804614	1111707648
16777216	7.84	349609288	1111707648

bitsmart Insert
Operations	Seconds	Comparisons
262144	0.06	3407592	124071936
524288	0.11	6815208	124071936
1048576	0.22	13630440	124071936
2097152	0.41	27260904	124071936
4194304	0.86	54521832	124071936
8388608	1.63	109043688	124071936
16777216	3.27	218087400	124071936

binary Insert
Operations	Seconds	Comparisons
262144	0.15	4456468	28655616
524288	0.34	9437205	41238528
1048576	0.68	19922966	66404352
2097152	1.38	41943063	116736000
4194304	2.81	88080408	217399296
8388608	5.78	184549401	416628736
16777216	11.63	385875994	819281920

fibonacci Insert
Operations	Seconds	Comparisons
262144	0.07	262144	34942976
524288	0.13	524288	53817344
1048576	0.3	1048576	91566080
2097152	0.54	2097152	166014976
4194304	1.08	4194304	317009920
8388608	2.13	8388608	618999808
16777216	4.33	16777216	1224028160

VEB Deletemin
Operations	Seconds	Comparisons
262144	0.14	5658103	1111707648
524288	0.24	11316246	1111707648
1048576	0.51	22632544	1111707648
2097152	1.08	45265143	1111707648
4194304	1.87	90530338	1111707648
8388608	3.94	181060735	1111707648
16777216	7.45	362121526	1111707648

bitsmart Deletemin
Operations	Seconds	Comparisons
262144	0.08	3944295	124071936
524288	0.13	7888620	124071936
1048576	0.26	15777266	124071936
2097152	0.51	31554558	124071936
4194304	1.12	63109142	124071936
8388608	2.08	126218310	124071936
16777216	5.08	252436646	124071936

binary Deletemin
Operations	Seconds	Comparisons
262144	0.19	8126504	26554368
524288	0.27	17301546	37040128
1048576	0.66	36700204	58011648
2097152	1.38	77594670	99954688
4194304	2.97	163577904	182792192
8388608	6.16	343932978	350564352
16777216	12.74	721420340	686108672

fibonacci Deletemin
Operations	Seconds	Comparisons
262144	0.72	6422548	32845824
524288	1.6	13631509	49623040
1048576	2.83	28835862	83177472
2097152	6.3	60817431	150286336
4194304	12.61	127926296	284504064
8388608	25.32	268435481	552939520
16777216	50.18	562036762	1089810432

VEB interleaved
Operations	Seconds	Comparisons
262144	0.1	4980736	1111707648
524288	0.19	9961472	1111707648
1048576	0.38	19922944	1111707648
2097152	0.77	39845888	1111707648
4194304	1.6	79691776	1111707648
8388608	3.07	159383552	1111707648
16777216	6.06	318767104	1111707648

bitsmart interleaved
Operations	Seconds	Comparisons
262144	0.06	3670016	124071936
524288	0.12	7340032	124071936
1048576	0.23	14680064	124071936
2097152	0.45	29360128	124071936
4194304	0.89	58720256	124071936
8388608	1.82	117440512	124071936
16777216	3.58	234881024	124071936

binary interleaved
Operations	Seconds	Comparisons
262144	0.16	8912933	21450752
524288	0.31	18874407	28651520
1048576	0.63	39845929	41234432
2097152	1.3	83886123	66400256
4194304	2.71	176160813	116731904
8388608	5.75	369098799	216346624
16777216	12.18	771751985	417673216

fibonacci interleaved
Operations	Seconds	Comparisons
262144	0.3	524288	24457216
524288	0.58	1048576	32845824
1048576	1.17	2097152	49623040
2097152	2.3	4194304	83177472
4194304	4.63	8388608	150286336
8388608	9.44	16777216	284504064
16777216	26.2	33554432	552939520

==================DONE==================
