VEB Insert
Operations	Seconds	Comparisons
262144	0.01	5462600
524288	0.03	10925238
1048576	0.06	21850526
2097152	0.11	43701112
4194304	0.22	87402276
8388608	0.45	174804614
16777216	0.94	349609288

bitsmart Insert
Operations	Seconds	Comparisons
262144	0.01	3407592
524288	0.02	6815208
1048576	0.02	13630440
2097152	0.04	27260904
4194304	0.1	54521832
8388608	0.18	109043688
16777216	0.4	218087400

binary Insert
Operations	Seconds	Comparisons
262144	0.05	4456468
524288	0.06	9437205
1048576	0.11	19922966
2097152	0.27	41943063
4194304	0.54	88080408
8388608	1.15	184549401
16777216	2.28	385875994

fibonacci Insert
Operations	Seconds	Comparisons
262144	0	262144
524288	0.02	524288
1048576	0.05	1048576
2097152	0.1	2097152
4194304	0.23	4194304
8388608	0.52	8388608
16777216	1.16	16777216

VEB Deletemin
Operations	Seconds	Comparisons
262144	0.02	5658103
524288	0.03	11316246
1048576	0.06	22632544
2097152	0.12	45265143
4194304	0.25	90530338
8388608	0.52	181060735
16777216	1.04	362121526

bitsmart Deletemin
Operations	Seconds	Comparisons
262144	0.01	3944295
524288	0.02	7888620
1048576	0.04	15777266
2097152	0.07	31554558
4194304	0.14	63109142
8388608	0.3	126218310
16777216	0.72	252436646

binary Deletemin
Operations	Seconds	Comparisons
262144	0.04	8126504
524288	0.07	17301546
1048576	0.15	36700204
2097152	0.29	77594670
4194304	0.67	163577904
8388608	1.36	343932978
16777216	2.79	721420340

fibonacci Deletemin
Operations	Seconds	Comparisons
262144	0.21	6422548
524288	0.48	13631509
1048576	1.03	28835862
2097152	2.08	60817431
4194304	4.41	127926296
8388608	9.25	268435481
16777216	19.94	562036762

VEB interleaved
Operations	Seconds	Comparisons
262144	0.01	4980736
524288	0.02	9961472
1048576	0.03	19922944
2097152	0.07	39845888
4194304	0.15	79691776
8388608	0.31	159383552
16777216	0.59	318767104

bitsmart interleaved
Operations	Seconds	Comparisons
262144	0.01	3670016
524288	0.01	7340032
1048576	0.04	14680064
2097152	0.06	29360128
4194304	0.1	58720256
8388608	0.19	117440512
16777216	0.39	234881024

binary interleaved
Operations	Seconds	Comparisons
262144	0.04	8912933
524288	0.09	18874407
1048576	0.18	39845929
2097152	0.43	83886123
4194304	1.09	176160813
8388608	2.98	369098799
16777216	7.29	771751985

fibonacci interleaved
Operations	Seconds	Comparisons
262144	0.04	524288
524288	0.07	1048576
1048576	0.13	2097152
2097152	0.26	4194304
4194304	0.42	8388608
8388608	0.85	16777216
16777216	1.91	33554432

==================DONE==================
