Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"500/test_pop_push/list",1.1440526426906017e-2,1.1202629984492684e-2,1.177769082891407e-2,1.4385167703562269e-3,1.1198085533130585e-3,1.8838945119805308e-3
"500/test_pop_push/strict",2.0484380473812788e-4,2.0067470979105126e-4,2.1034216017291473e-4,2.433596824854041e-5,1.928194073904754e-5,2.9157059412637142e-5
"500/test_pop_push/lazy",2.3048411843809742e-4,2.2551641189403877e-4,2.3720718177079137e-4,2.9409308132256028e-5,2.3068252018104803e-5,3.553576908203131e-5
"500/test_pop_push/realtime",3.385454297370748e-4,3.307373575106868e-4,3.4899477110234407e-4,4.5507243449956175e-5,3.6504938056829115e-5,5.455201759335854e-5
"500/test_pop/list",1.1241096364918038e-4,1.1119264470997142e-4,1.1470693456592844e-4,8.231031846190274e-6,4.486666063602101e-6,1.2323460236382529e-5
"500/test_pop/strict",1.3693719317487988e-4,1.3428831036137387e-4,1.4050862489028976e-4,1.5714268694567422e-5,1.2431540609682615e-5,1.896014694540732e-5
"500/test_pop/lazy",1.5650783278170214e-4,1.5315666832887864e-4,1.6097126405762333e-4,1.97090373543984e-5,1.586062293880805e-5,2.3338323421345314e-5
"500/test_pop/realtime",2.176136220507688e-4,2.1299056248203472e-4,2.2382693354211025e-4,2.711916354799751e-5,2.170273711210859e-5,3.231921187507538e-5
"500/test_push/list",8.687055248128832e-2,8.634077209340994e-2,8.82869543443865e-2,4.087617775977142e-3,1.5457548587533647e-3,8.27243423904098e-3
"500/test_push/strict",9.548319747969409e-5,9.346249676966782e-5,9.812716565634811e-5,1.176828460113841e-5,9.46855564442011e-6,1.3983502459200689e-5
"500/test_push/lazy",6.205682291464084e-5,6.052161196804724e-5,6.409645773482758e-5,8.99772262070122e-6,7.1341503434648426e-6,1.0742627038002094e-5
"500/test_push/realtime",1.448341657845111e-4,1.4181615555421975e-4,1.4886193546362607e-4,1.7728304052761745e-5,1.4149627095451257e-5,2.1205117420592107e-5
"500/test_repeated_push_pop/list",1.1359137476558116e-2,1.1127444685573012e-2,1.1672443331355488e-2,1.3685560455135605e-3,1.0755058128640116e-3,1.6552727614644574e-3
"500/test_repeated_push_pop/strict",5.635672072925379e-3,5.537690778929202e-3,5.769410590686608e-3,5.807197145080239e-4,4.525256645530544e-4,7.136798825299498e-4
"500/test_repeated_push_pop/lazy",1.155048850673046e-4,1.126948746970861e-4,1.1934981200937417e-4,1.681656782413217e-5,1.3324602408751439e-5,2.029545757257726e-5
"500/test_repeated_push_pop/realtime",1.7524864249392108e-4,1.716291759847833e-4,1.8017440439795635e-4,2.1470793011606956e-5,1.701322580534934e-5,2.5957773866226887e-5
"1000/test_pop_push/list",2.4440263689631845e-2,2.4125915945643815e-2,2.494192499029103e-2,2.0012139607963088e-3,1.400363778648595e-3,2.71956525892377e-3
"1000/test_pop_push/strict",2.3571624285534924e-4,2.3082506321276178e-4,2.4227608264382208e-4,2.879921946608619e-5,2.263789411413324e-5,3.4517562535234e-5
"1000/test_pop_push/lazy",2.1672033340551777e-4,2.1197021317678326e-4,2.231540587625734e-4,2.8160572592283976e-5,2.224728653567511e-5,3.400040318332097e-5
"1000/test_pop_push/realtime",3.181619471463665e-4,3.1576953206891104e-4,3.235983522051966e-4,1.7429926953101728e-5,9.662384953441826e-6,3.280725045009621e-5
"1000/test_pop/list",1.1628049718799876e-4,1.1396545278492258e-4,1.2001413213672927e-4,1.4799812020473074e-5,1.0529772215567317e-5,2.0379057014302333e-5
"1000/test_pop/strict",1.6085776229539782e-4,1.5752919439926391e-4,1.6537292111982934e-4,1.9667122699254115e-5,1.5496267549543903e-5,2.364823775898042e-5
"1000/test_pop/lazy",1.6254324651221984e-4,1.5916559836919465e-4,1.6705870861969245e-4,1.9975527698898068e-5,1.581530229440519e-5,2.4017037493508668e-5
"1000/test_pop/realtime",2.421952522014504e-4,2.360908305858498e-4,2.499738013957863e-4,3.5105349235782176e-5,2.9082723024572725e-5,4.04014770118673e-5
"1000/test_push/list",0.1442591728578753,0.14372447151052425,0.1455253781686968,3.968670338467482e-3,1.579703358240861e-3,6.937276301641395e-3
"1000/test_push/strict",1.1237732956691499e-4,1.1026229186075179e-4,1.15304977263516e-4,1.2774430600366875e-5,9.868261059316782e-6,1.5775571806048895e-5
"1000/test_push/lazy",6.135509967158546e-5,6.0061281515660955e-5,6.322102891987166e-5,7.887375811599685e-6,5.884327809721968e-6,9.909620438715913e-6
"1000/test_push/realtime",1.8965143144834438e-4,1.85842249836415e-4,1.9465647795121214e-4,2.2358100063276328e-5,1.796327460244799e-5,2.6750454745473888e-5
"1000/test_repeated_push_pop/list",2.4096070707911876e-2,2.3792718828792e-2,2.460981029378834e-2,1.9834942931117355e-3,1.3349662016903419e-3,2.788607212286619e-3
"1000/test_repeated_push_pop/strict",1.1958528936976819e-2,1.1725305498713872e-2,1.2272221029872323e-2,1.3774768144584257e-3,1.0991594983766246e-3,1.6469897551994502e-3
"1000/test_repeated_push_pop/lazy",1.1607639091399454e-4,1.1319129685823188e-4,1.1989757591595469e-4,1.6919092497573588e-5,1.3441404286853495e-5,2.027689958477209e-5
"1000/test_repeated_push_pop/realtime",1.7491390280886237e-4,1.7129596899059034e-4,1.7982212391743526e-4,2.155777443143143e-5,1.7022630219395507e-5,2.5982068943660733e-5
"1500/test_pop_push/list",3.996105092870654e-2,3.951007264959279e-2,4.0747851313228035e-2,2.9813756779858455e-3,1.917050101028415e-3,4.232968729046617e-3
"1500/test_pop_push/strict",2.620400494676591e-4,2.5667582606528545e-4,2.693804709496674e-4,3.21866956461536e-5,2.5526302085868394e-5,3.851387591136659e-5
"1500/test_pop_push/lazy",2.0094443042231234e-4,1.9617621265871914e-4,2.0712420153801516e-4,2.766622765053947e-5,2.230596775976476e-5,3.2565058035276594e-5
"1500/test_pop_push/realtime",3.9667588289437895e-4,3.874057960098805e-4,4.0946353789029713e-4,5.5411663178872036e-5,4.321363325807872e-5,6.73272459958287e-5
"1500/test_pop/list",1.170505891984968e-4,1.1522668706836986e-4,1.1971610891285229e-4,1.1163571120599004e-5,8.446279596497517e-6,1.4554748965482053e-5
"1500/test_pop/strict",1.8145486100448448e-4,1.7805101504914062e-4,1.8621692150648064e-4,2.052421932283707e-5,1.5601669664340563e-5,2.5336660005310437e-5
"1500/test_pop/lazy",1.3569014423431936e-4,1.3298336773975419e-4,1.3944176423673425e-4,1.6262555435732447e-5,1.2722481106139578e-5,1.9763658616599965e-5
"1500/test_pop/realtime",1.9473857635345765e-4,1.9143965794728903e-4,1.9936359403427667e-4,1.9842972712099182e-5,1.5212368175395903e-5,2.4663771731757923e-5
"1500/test_push/list",0.19267776149618096,0.19179832834112115,0.19524968284475266,6.981207104951189e-3,2.334742515563788e-3,1.4917422430106072e-2
"1500/test_push/strict",1.2777395186795083e-4,1.2532642202497187e-4,1.311211730416889e-4,1.4585603984922762e-5,1.1464289200178708e-5,1.7686325185640608e-5
"1500/test_push/lazy",6.266749230290125e-5,6.104774493330492e-5,6.49018992934813e-5,9.671247689604566e-6,7.628523810557922e-6,1.2230009305428018e-5
"1500/test_push/realtime",1.114775543766641e-4,1.0937545540976444e-4,1.1433736431907689e-4,1.2500320768586134e-5,9.75991714307464e-6,1.531709967444611e-5
"1500/test_repeated_push_pop/list",3.859336990224782e-2,3.8217202604884544e-2,3.933201450216236e-2,2.583646843370313e-3,1.5516768474533058e-3,3.993520801994315e-3
"1500/test_repeated_push_pop/strict",1.8165613592738532e-2,1.7865358770961192e-2,1.8602129400844006e-2,1.8354488135132044e-3,1.374624440419417e-3,2.31873376282856e-3
"1500/test_repeated_push_pop/lazy",1.1530868457055904e-4,1.1233756172089666e-4,1.193079762964375e-4,1.7652002857333405e-5,1.4051133072405896e-5,2.106967399118423e-5
"1500/test_repeated_push_pop/realtime",2.1412274609313773e-4,2.1051664417031605e-4,2.190458387846597e-4,2.1560165289295787e-5,1.667975333105249e-5,2.642001888303084e-5
"2000/test_pop_push/list",5.641163963186206e-2,5.59249700914568e-2,5.7402566851252945e-2,3.4158740041397985e-3,1.9410081574154118e-3,5.434144979992479e-3
"2000/test_pop_push/strict",2.874252172651824e-4,2.8180419430886655e-4,2.9512602647780047e-4,3.3524013258862364e-5,2.616266979829062e-5,4.0814527184894235e-5
"2000/test_pop_push/lazy",2.1545545834394884e-4,2.110363901852657e-4,2.2165118942615394e-4,2.6566368951064676e-5,2.0529823073135773e-5,3.2659964545174146e-5
"2000/test_pop_push/realtime",4.962528375547323e-4,4.8459752857118955e-4,5.120936930664844e-4,6.922340101602801e-5,5.4588661468915e-5,8.345482483264381e-5
"2000/test_pop/list",1.140560518449812e-4,1.1311191427173897e-4,1.159204851335554e-4,6.5254820576893045e-6,3.932695666572254e-6,1.0591460178601273e-5
"2000/test_pop/strict",2.1035141052594823e-4,2.0616362792045913e-4,2.1612034541160913e-4,2.515330177591976e-5,1.9984133919201666e-5,3.040664887406445e-5
"2000/test_pop/lazy",1.8185847668505424e-4,1.7790337736729164e-4,1.8728166047942912e-4,2.3522255046664265e-5,1.867781467461347e-5,3.202844884604541e-5
"2000/test_pop/realtime",2.670171704925253e-4,2.615032589409077e-4,2.7483872025305984e-4,3.353153703085263e-5,2.592612656409304e-5,4.121457673597443e-5
"2000/test_push/list",0.255125419081325,0.25437569040166796,0.25807070392476966,6.723649709547986e-3,1.2994930546298895e-3,1.569991932078102e-2
"2000/test_push/strict",1.497928556399559e-4,1.4661639088596348e-4,1.5382628091497322e-4,1.8335634465795138e-5,1.5182565395387607e-5,2.1334327991440576e-5
"2000/test_push/lazy",6.137440391800333e-5,6.0061379820984566e-5,6.324248573331834e-5,7.94214473194015e-6,6.126048329320179e-6,9.799978575053213e-6
"2000/test_push/realtime",1.8815555474947923e-4,1.8377369942060165e-4,1.9392655592949233e-4,2.5546114294386732e-5,2.053883735263861e-5,3.0469358541281367e-5
"2000/test_repeated_push_pop/list",5.556012290822926e-2,5.512048858510915e-2,5.650346654760302e-2,3.1347135099978507e-3,1.5725260165720826e-3,5.2445351459661e-3
"2000/test_repeated_push_pop/strict",2.6122743071193125e-2,2.5748828829402357e-2,2.6717912138575942e-2,2.3744579619174493e-3,1.6409141013291595e-3,3.193959858716075e-3
"2000/test_repeated_push_pop/lazy",1.1449547739670124e-4,1.1170598002121295e-4,1.1839814443338162e-4,1.6730469917997243e-5,1.310014552373066e-5,2.0301103744109987e-5
"2000/test_repeated_push_pop/realtime",1.741087632672364e-4,1.705449845262173e-4,1.7894402829060418e-4,2.1173097437322698e-5,1.6613740030836142e-5,2.5572909052488936e-5
"2500/test_pop_push/list",7.598637002813281e-2,7.544708627569137e-2,7.728780883657402e-2,4.016572839292027e-3,1.385837703958897e-3,7.143737069099555e-3
"2500/test_pop_push/strict",3.1946129393877246e-4,3.1282629310756983e-4,3.282749386491124e-4,3.8945423135534146e-5,3.097193913029698e-5,4.646081063982234e-5
"2500/test_pop_push/lazy",1.9598622238458093e-4,1.9201655304253994e-4,2.0158507399721697e-4,2.387503468374567e-5,1.811728685370252e-5,2.9810090211106937e-5
"2500/test_pop_push/realtime",3.790917956791328e-4,3.7084431904357574e-4,3.90651484362845e-4,4.9566354552743264e-5,3.798005782964137e-5,6.117122442134415e-5
"2500/test_pop/list",1.1733192312183665e-4,1.1541980611744213e-4,1.2040037023487372e-4,1.222443997784862e-5,8.697914448299448e-6,1.7086984068218492e-5
"2500/test_pop/strict",2.3956872721652984e-4,2.3396526082271714e-4,2.465711258693804e-4,3.195916410464152e-5,2.6455579516081756e-5,3.689884929883155e-5
"2500/test_pop/lazy",1.350898218011794e-4,1.3253122763653839e-4,1.387218437880993e-4,1.542924966929733e-5,1.1909094694394274e-5,1.9037865793697417e-5
"2500/test_pop/realtime",2.3636178674366667e-4,2.3190565180080487e-4,2.4259216856258457e-4,2.6815120924972973e-5,2.0290378099653265e-5,3.358512967956495e-5
"2500/test_push/list",0.31885342973577424,0.31828811067449514,0.32123097795354805,5.084137639414898e-3,8.092609262739063e-4,1.1883348793936271e-2
"2500/test_push/strict",1.703542173053046e-4,1.6685729334314965e-4,1.7490011857805248e-4,2.031513308393391e-5,1.6431648136450304e-5,2.3938745211938267e-5
"2500/test_push/lazy",6.226965697895966e-5,6.0843586634745304e-5,6.415822430507533e-5,8.39567174874329e-6,6.665496071789906e-6,1.0041515191983094e-5
"2500/test_push/realtime",1.784905342242947e-4,1.7502510290034478e-4,1.8333091512789804e-4,2.0788367492427502e-5,1.606418456474939e-5,2.5759497242785848e-5
"2500/test_repeated_push_pop/list",7.345211404668753e-2,7.291807311880052e-2,7.478009361135425e-2,4.002193290004079e-3,1.3860581666463024e-3,7.0627202969949345e-3
"2500/test_repeated_push_pop/strict",3.565950530874194e-2,3.526232379781667e-2,3.636555808889332e-2,2.6508050349235805e-3,1.672019867590838e-3,3.8191970376714045e-3
"2500/test_repeated_push_pop/lazy",1.1441093570726853e-4,1.118115374121839e-4,1.1811509757831577e-4,1.5769914227348693e-5,1.204206544880818e-5,1.9589786188273173e-5
"2500/test_repeated_push_pop/realtime",2.1887083459955288e-4,2.1442190133877143e-4,2.2509900908162592e-4,2.6750295246425584e-5,2.060774633716887e-5,3.296056061898139e-5
"3000/test_pop_push/list",9.674024480688037e-2,9.647941726552908e-2,9.790813106405204e-2,2.4141575450213407e-3,3.164377996660958e-4,5.707172798714328e-3
"3000/test_pop_push/strict",3.6242622315517327e-4,3.547094552269937e-4,3.7261910827354543e-4,4.512881634637133e-5,3.592136711584882e-5,5.402552476152545e-5
"3000/test_pop_push/lazy",2.007226718356307e-4,1.9622266565119713e-4,2.0666045042412798e-4,2.6398933412709173e-5,2.101987115123987e-5,3.155150371972021e-5
"3000/test_pop_push/realtime",3.1422635347773696e-4,3.0799307002611154e-4,3.233767450109985e-4,3.8152681964610505e-5,2.8974041756088595e-5,4.797565669961613e-5
"3000/test_pop/list",1.3886827337208078e-4,1.3517755376758858e-4,1.4286655294361403e-4,1.9682198963026236e-5,1.7144345590108357e-5,2.3526424119265988e-5
"3000/test_pop/strict",2.5484130517364927e-4,2.498144878518721e-4,2.6145604321414946e-4,2.9583691270739646e-5,2.3436003044470137e-5,3.575406298998276e-5
"3000/test_pop/lazy",1.363404049937559e-4,1.3361719834928306e-4,1.400829806392027e-4,1.622734320273921e-5,1.2719451030052616e-5,1.964214861111939e-5
"3000/test_pop/realtime",1.989015292908976e-4,1.9517408553430194e-4,2.0392204774763356e-4,2.193682008550941e-5,1.744340963128135e-5,2.6350011295487264e-5
"3000/test_push/list",0.3875089229952042,0.38726117509710245,0.3879248632799333,1.6060541558966265e-3,1.0637403932983731e-3,2.4508039326241416e-3
"3000/test_push/strict",1.868915406784997e-4,1.833276455241446e-4,1.9185057595408719e-4,2.1347327705053927e-5,1.6872326668642295e-5,2.587748655092031e-5
"3000/test_push/lazy",6.267592400846197e-5,6.121977061567023e-5,6.455512732801153e-5,8.412479243638548e-6,6.921013930485374e-6,9.880878105172361e-6
"3000/test_push/realtime",1.4201471435456366e-4,1.3808984971153875e-4,1.4603973729313007e-4,2.0444476819488993e-5,1.8288235871655857e-5,2.3104389837027223e-5
"3000/test_repeated_push_pop/list",9.373448509084649e-2,9.366027492391532e-2,9.38864244829363e-2,5.230150172367865e-4,3.0617400239426343e-4,9.818452189865599e-4
"3000/test_repeated_push_pop/strict",4.293187517034476e-2,4.25038184534258e-2,4.373338836538261e-2,2.90986932456574e-3,1.7843136468475521e-3,4.466898181437345e-3
"3000/test_repeated_push_pop/lazy",1.1523613473962985e-4,1.1235828879721283e-4,1.1910415309495481e-4,1.7020454452093873e-5,1.353963006595335e-5,2.0325417766534656e-5
"3000/test_repeated_push_pop/realtime",2.3045260583044234e-4,2.2461555547921273e-4,2.3738360732025499e-4,3.256886725339342e-5,2.842847405877348e-5,3.9469129457147514e-5
"3500/test_pop_push/list",0.1334298242937273,0.1310602583299822,0.1358238448511309,1.2228082952702928e-2,1.1442894531908783e-2,1.380823140866496e-2
"3500/test_pop_push/strict",3.737630378788532e-4,3.66606308180672e-4,3.834750186985554e-4,4.235225744024383e-5,3.342417025931535e-5,5.214849530060279e-5
"3500/test_pop_push/lazy",2.053390826667211e-4,2.0082858159230853e-4,2.114377163874823e-4,2.6679383521084753e-5,2.1238189917630815e-5,3.1958472224759616e-5
"3500/test_pop_push/realtime",3.910098058649905e-4,3.8252743380544905e-4,4.0331500947109113e-4,5.183201772245212e-5,3.936265674128182e-5,6.453380020942238e-5
"3500/test_pop/list",1.153220545000105e-4,1.1414188253345773e-4,1.1736768590870186e-4,7.773987999482928e-6,5.052905987314061e-6,1.0999163586295976e-5
"3500/test_pop/strict",2.943535502815114e-4,2.886965427536054e-4,3.02219311883159e-4,3.393382505404698e-5,2.6273110566148333e-5,4.154540352041704e-5
"3500/test_pop/lazy",1.3552369803376767e-4,1.3311300419858101e-4,1.3887822180532025e-4,1.4417575886205552e-5,1.114917028188182e-5,1.7850883384409385e-5
"3500/test_pop/realtime",1.9434208247198987e-4,1.9070339866849204e-4,1.9925887908056657e-4,2.1508019016933652e-5,1.689436699955674e-5,2.5933254356069726e-5
"3500/test_push/list",0.5196777476679032,0.5049056972871966,0.537023066462154,8.199222557168791e-2,7.156435719116468e-2,9.223460935627077e-2
"3500/test_push/strict",2.8235824763478347e-4,2.7655241463569015e-4,2.8815386269477215e-4,2.971561280703611e-5,2.432623243699944e-5,3.614623673186741e-5
"3500/test_push/lazy",9.828517733369649e-5,9.704931323238438e-5,9.975479353080981e-5,6.888318073077353e-6,5.701230096278623e-6,9.342471174448341e-6
"3500/test_push/realtime",1.3382368671481612e-4,1.3210238585276398e-4,1.3490708241266987e-4,6.905388718279451e-6,4.693559020304928e-6,1.0100437600977467e-5
"3500/test_repeated_push_pop/list",0.17130271333562794,0.16929299253332086,0.17394714492666188,1.179296778707961e-2,9.433037766486515e-3,1.4099310060297061e-2
"3500/test_repeated_push_pop/strict",7.9157868803615e-2,7.741359609472216e-2,8.111952203618941e-2,9.470368462712339e-3,8.460654397918196e-3,1.0414552860100196e-2
"3500/test_repeated_push_pop/lazy",1.5220724082125507e-4,1.483298062016178e-4,1.562884678798431e-4,2.0435786317208126e-5,1.870000738644269e-5,2.262450835673212e-5
"3500/test_repeated_push_pop/realtime",1.7552039395080373e-4,1.720119181619511e-4,1.8034924856184914e-4,2.0966522102667414e-5,1.6169668862027363e-5,2.561069857485311e-5
"4000/test_pop_push/list",0.1469319548021501,0.14660875934469167,0.14748338598119687,2.1184861567321986e-3,1.3744807050100729e-3,3.2669046452115354e-3
"4000/test_pop_push/strict",4.330934346078048e-4,4.237889906126467e-4,4.4549279017827993e-4,5.45120950841487e-5,4.348432798798795e-5,6.565162257639751e-5
"4000/test_pop_push/lazy",2.1957023973981254e-4,2.145025922261157e-4,2.2634944978195773e-4,2.9734909709949816e-5,2.339545440608951e-5,3.561537885267352e-5
"4000/test_pop_push/realtime",5.583688194997868e-4,5.465520993319906e-4,5.748086745985112e-4,7.082369812931949e-5,5.409890509571385e-5,8.751193180591129e-5
"4000/test_pop/list",1.1712688314380933e-4,1.1570352422657297e-4,1.1951106893482493e-4,9.27670871530145e-6,6.1562560263135294e-6,1.3238119022933474e-5
"4000/test_pop/strict",3.2247812055533217e-4,3.160736014742164e-4,3.311299334266293e-4,3.776247686013096e-5,3.023739603276554e-5,4.537445705900288e-5
"4000/test_pop/lazy",1.5990814303892367e-4,1.5639554323871712e-4,1.6466899990877812e-4,2.087035605676608e-5,1.6378520570079063e-5,2.598243916389168e-5
"4000/test_pop/realtime",2.6748347160457386e-4,2.6191863295673133e-4,2.7492312468328865e-4,3.280221243038228e-5,2.6233162728384635e-5,3.955400066162205e-5
"4000/test_push/list",0.543139013231868,0.540216049135799,0.5488497199426837,2.019786415845363e-2,1.1453182077739352e-2,3.278781937278432e-2
"4000/test_push/strict",2.450718400734435e-4,2.3985337161306128e-4,2.5196611065246354e-4,3.063085626534981e-5,2.5117725951537182e-5,3.651141937215521e-5
"4000/test_push/lazy",6.229143260001846e-5,6.0855857803007505e-5,6.427774202513647e-5,8.602124040954195e-6,6.6241225127301e-6,1.0515409669567162e-5
"4000/test_push/realtime",1.8727917214348723e-4,1.833880708932055e-4,1.9252830562033156e-4,2.307320838711618e-5,1.8143956652114614e-5,2.814825094469266e-5
"4000/test_repeated_push_pop/list",0.14032134431707322,0.13979631561147632,0.1410900987993426,3.208688556051238e-3,2.491374017824264e-3,4.583800414784813e-3
"4000/test_repeated_push_pop/strict",6.324978250371881e-2,6.267025131093924e-2,6.440246719228684e-2,3.993163229733569e-3,2.2599521297715433e-3,6.224618982996237e-3
"4000/test_repeated_push_pop/lazy",1.143139227628209e-4,1.1171712107631116e-4,1.1791268409853252e-4,1.5538197778405885e-5,1.2023781957605853e-5,1.924774876430154e-5
"4000/test_repeated_push_pop/realtime",1.738171773449953e-4,1.7036548939595086e-4,1.7859610746410104e-4,2.064241137110078e-5,1.5859324332767866e-5,2.5430254120164102e-5
"4500/test_pop_push/list",0.17307698625432907,0.17289383548604903,0.17345525401937423,1.2897428628660308e-3,7.679537312038067e-4,2.3768327025137353e-3
"4500/test_pop_push/strict",5.228603343524746e-4,5.12520358995419e-4,5.366319477913986e-4,6.089302363242519e-5,4.9032046944394614e-5,7.359895074621592e-5
"4500/test_pop_push/lazy",1.9814608992716008e-4,1.9403168648298209e-4,2.038936956997395e-4,2.479975015654987e-5,1.9023532452468527e-5,3.048948726729569e-5
"4500/test_pop_push/realtime",5.478890642340039e-4,5.358943291796561e-4,5.644406002964932e-4,7.153178352632344e-5,5.5324808980646185e-5,8.775343970698325e-5
"4500/test_pop/list",1.1894124853077225e-4,1.1677402364673899e-4,1.2211936819019604e-4,1.3324288838040726e-5,9.902937278457039e-6,1.75862912774037e-5
"4500/test_pop/strict",3.5279291530661993e-4,3.4530698064039514e-4,3.625708018335452e-4,4.351510005022642e-5,3.485023534608845e-5,5.183778699403712e-5
"4500/test_pop/lazy",1.3504680279668928e-4,1.3250020730619225e-4,1.3855235927643365e-4,1.5233667014342978e-5,1.1676508601827623e-5,1.875497230629247e-5
